category,fraction,average_dot_product,variance,second_best_category
scooter,0.0002717391304347826,0.34402966,0.0,scooters
car,0.0008152173913043478,0.26967138,1.7344952e-05,picture of car
picture of ambulance,0.0010869565217391304,0.27383387,0.0005578324,image of ambulance
image of bus,0.035326086956521736,0.2869772,0.00019054413,picture of bus
cool bus,0.003260869565217391,0.29218647,0.00019507606,image of bus
picture of bus,0.007880434782608695,0.28264973,0.000125959,image of bus
picture of motorcycle,0.005163043478260869,0.28889713,0.000113800954,image of motorcycle
picture of van,0.0002717391304347826,0.2631605,0.0,cool van
picture of segway,0.0010869565217391304,0.3288202,0.00047922134,image of segway
classic kayak,0.0008152173913043478,0.28729475,1.4553467e-06,image of kayak
buses,0.0005434782608695652,0.2846731,2.3692846e-06,image of bus
classic bus,0.0019021739130434783,0.2932991,0.00011880909,image of bus
cars,0.0010869565217391304,0.27235633,9.610504e-05,picture of car
picture of car,0.008695652173913044,0.26763466,0.00011522323,image of car
cool car,0.013043478260869565,0.27578035,8.7300934e-05,image of car
hovercraft,0.0010869565217391304,0.2724176,1.7024577e-05,cool hovercraft
classic car,0.002173913043478261,0.2778076,9.201467e-05,cool car
classic hovercraft,0.002989130434782609,0.2965277,0.00013056668,image of hovercraft
motorcycles,0.002717391304347826,0.28176683,0.00020365119,image of motorcycle
picture of hovercraft,0.0008152173913043478,0.30450973,0.00010768572,image of hovercraft
motorcycle,0.001358695652173913,0.2767191,0.00011311173,motorcycles
ambulance,0.0002717391304347826,0.2834233,0.0,image of ambulance
