category,fraction,average_dot_product,variance,second_best_category
car,0.02798913043478261,0.25998446,0.00014681493,cars
Large cars,0.002173913043478261,0.26136744,0.00015975535,cars
cars,0.006793478260869565,0.25765142,0.00022727967,car
Large rickshaws,0.0024456521739130437,0.30574495,0.00069435436,rickshaws
Small car,0.002717391304347826,0.2744189,0.00026351213,car
Large car,0.009510869565217392,0.25738275,0.0001222883,car
fire truck,0.00625,0.29630563,0.00021737555,Small fire truck
motorcycles,0.005163043478260869,0.27323902,0.00020372868,motorcycle
hovercraft,0.003532608695652174,0.2752505,0.00029170053,hovercrafts
hovercrafts,0.007336956521739131,0.29141843,0.0003260948,Large hovercrafts
ambulances,0.011956521739130435,0.29720062,0.00036246667,Large ambulances
Large ambulances,0.006793478260869565,0.2902013,0.00055024144,ambulances
tractor,0.010054347826086956,0.30109033,0.00030110977,Small tractor
kayak,0.01983695652173913,0.29255334,0.00025716546,Small kayak
Small scooter,0.026630434782608695,0.298484,0.00016141424,Large scooter
Large van,0.01875,0.28911123,0.00026285477,Small van
Small van,0.029347826086956522,0.281838,0.0002447764,Large van
Small truck,0.00923913043478261,0.277838,0.00013725196,truck
Large vans,0.002173913043478261,0.28333038,7.458031e-06,Large van
Small motorcycle,0.008695652173913044,0.28080833,0.00023420155,motorcycle
Small ambulance,0.019293478260869565,0.30997872,0.0002962032,ambulance
Large ambulance,0.010597826086956521,0.30917242,0.00021857482,Small ambulance
Large bus,0.030706521739130434,0.28131187,0.00013328654,Large buses
Small bus,0.003260869565217391,0.2810191,0.00023445983,Large bus
van,0.003260869565217391,0.25347322,0.00060614944,Large van
rickshaws,0.0005434782608695652,0.2754058,0.00084483624,rickshaw
truck,0.00923913043478261,0.28001538,0.00024482782,Small truck
boat,0.008695652173913044,0.27229762,0.00026326627,Small boat
Large trucks,0.00923913043478261,0.27893645,0.00014286181,Large truck
motorcycle,0.023641304347826086,0.2780362,0.00016938681,Large motorcycle
Large kayaks,0.004076086956521739,0.28835508,0.0002251943,Large kayak
Large hovercraft,0.01956521739130435,0.29599917,0.00029381778,Small hovercraft
Small boat,0.014402173913043478,0.28459638,0.00016700996,boat
Small hovercraft,0.008695652173913044,0.29011446,0.00036162883,Large hovercraft
Large hovercrafts,0.007336956521739131,0.2898216,0.00014538235,Large hovercraft
Small jet ski,0.010597826086956521,0.29332098,0.00011711243,Large jet ski
Large segway,0.013043478260869565,0.2999792,0.00047581395,segway
Large jet ski,0.03641304347826087,0.30071798,0.00018568893,Small jet ski
jet ski,0.006521739130434782,0.30413553,0.00026045242,Large jet ski
Small kayak,0.01358695652173913,0.29450515,0.00021803856,Large kayak
Large jet skis,0.005434782608695652,0.29827365,0.00021676421,jet skis
Small fire truck,0.01956521739130435,0.30391183,0.00018164847,fire truck
Large skateboard,0.010869565217391304,0.29814145,0.00040061475,Large skateboards
Large fire truck,0.02282608695652174,0.302221,0.00014147873,fire truck
Large fire trucks,0.0024456521739130437,0.3035617,0.00018386709,fire trucks
fire trucks,0.0008152173913043478,0.27969027,1.606842e-05,Large fire trucks
Large truck,0.010054347826086956,0.28277826,0.00029855806,Large trucks
Large tractors,0.010597826086956521,0.29706293,0.00022814213,Large tractor
Large motorcycles,0.004347826086956522,0.27856413,0.0003380403,motorcycles
Large motorcycle,0.012771739130434783,0.2793193,0.00021351651,motorcycle
Large scooter,0.014130434782608696,0.28952497,0.00019448537,Large scooters
scooters,0.0010869565217391304,0.2867759,0.00010321289,Large scooters
scooter,0.0005434782608695652,0.27244458,1.37761235e-05,Large scooter
Large scooters,0.028804347826086957,0.29942983,0.00021579131,Large scooter
Large boats,0.0008152173913043478,0.27519187,0.00023981929,Large boat
Large kayak,0.01956521739130435,0.29851824,0.00021287467,Small kayak
Large boat,0.011684782608695652,0.2713206,9.163036e-05,boat
boats,0.0008152173913043478,0.26009658,0.00022650759,boat
Small airplane,0.011684782608695652,0.2798192,0.00020957548,airplane
jet skis,0.002989130434782609,0.29112828,9.8878685e-05,Large jet skis
segway,0.004891304347826087,0.30900827,0.00033236874,Small segway
segways,0.006521739130434782,0.3198836,0.0004476706,Large segways
Large segways,0.005163043478260869,0.31135377,0.00059813575,segways
Small segway,0.011956521739130435,0.30716157,0.00062036514,segway
Large bicycle,0.01847826086956522,0.28712818,0.00016389173,bicycle
Small skateboard,0.006793478260869565,0.29410896,0.00038300513,skateboard
Large bicycles,0.003260869565217391,0.27378353,0.00021911661,Large bicycle
Large unicycle,0.021467391304347827,0.3091775,0.0006181198,unicycle
Small unicycle,0.005163043478260869,0.30499116,0.00013055927,unicycle
airplanes,0.021195652173913043,0.2690346,0.0001477645,airplane
airplane,0.005706521739130435,0.2665981,0.0001990114,airplanes
Large airplane,0.005434782608695652,0.27226788,8.23617e-05,airplanes
Large airplanes,0.0008152173913043478,0.26841456,0.00026558837,Large airplane
skateboard,0.012771739130434783,0.28882366,0.0002805172,skateboards
Large skateboards,0.013043478260869565,0.30650315,0.00024137895,skateboards
skateboards,0.006521739130434782,0.29841015,0.0003318886,Large skateboards
unicycles,0.004619565217391305,0.2912037,0.0009578957,Large unicycles
Small tractor,0.014130434782608696,0.29355147,0.00028355306,Large tractor
Large tractor,0.01847826086956522,0.296058,0.0001293561,Large tractors
tractors,0.002173913043478261,0.28842098,0.0002084598,Large tractors
Large rickshaw,0.028532608695652172,0.31511533,0.00039022535,Small rickshaw
Large helicopters,0.012771739130434783,0.27823237,8.465889e-05,Large helicopter
Large helicopter,0.0125,0.28374958,0.00012223618,Small helicopter
Small helicopter,0.017391304347826087,0.28279102,9.825826e-05,helicopter
helicopters,0.004076086956521739,0.27960235,0.00011561711,Large helicopters
helicopter,0.002717391304347826,0.28358057,0.00020449757,Small helicopter
Small bicycle,0.005434782608695652,0.29367942,0.000112855436,Large bicycle
unicycle,0.01548913043478261,0.30368513,0.0006184829,Large unicycle
bicycle,0.007336956521739131,0.27394712,0.00033720335,bicycles
rickshaw,0.004347826086956522,0.29843903,0.0002539605,Large rickshaw
bicycles,0.002173913043478261,0.27500165,0.0002194792,bicycle
Large unicycles,0.001358695652173913,0.30081517,0.00012360812,unicycles
kayaks,0.005163043478260869,0.29293975,0.0002199035,Large kayaks
bus,0.00625,0.2777939,0.00016833388,Large bus
Large buses,0.004347826086956522,0.27736235,0.00016921014,Large bus
buses,0.002717391304347826,0.2794504,3.5244226e-05,Large buses
trucks,0.002717391304347826,0.27389163,0.00013707876,Large trucks
Small rickshaw,0.01141304347826087,0.30586484,0.00023595493,Large rickshaw
ambulance,0.002717391304347826,0.3026863,0.00023399592,Small ambulance
