category,fraction,average_dot_product,variance,second_best_category
Zebras,0.00411522633744856,0.30085826,0.00040837377,Zebra
Zebra,0.045781893004115226,0.32274982,0.00014466917,Large Zebra
Large Zebra,0.02109053497942387,0.3146173,0.00013071153,Zebra
Large Panda,0.03755144032921811,0.3144034,0.00014712059,Panda
Panda,0.030349794238683128,0.30886328,0.00026523462,Large Panda
Pandas,0.0015432098765432098,0.3165737,8.612871e-05,Panda
Bear,0.028292181069958847,0.29638672,0.00018587979,Large Bear
Dog,0.042695473251028807,0.26688817,8.488276e-05,Large Dog
Large Dog,0.018518518518518517,0.27212128,0.00010879172,Dog
Kangaroo,0.03497942386831276,0.30045724,0.00057933613,Large Kangaroo
Deer,0.01748971193415638,0.29566106,0.00013931359,Deers
Horse,0.044238683127572016,0.2841209,9.058797e-05,Large Horse
Large Tiger,0.05298353909465021,0.30433714,0.00016280054,Tiger
Tiger,0.0102880658436214,0.3044251,7.5012445e-05,Large Tiger
Tigers,0.0030864197530864196,0.29303357,0.00035103163,Large Tiger
Large Lion,0.030864197530864196,0.30339524,0.00020821889,Lion
Lion,0.03292181069958848,0.29392096,0.00020413846,Large Lion
Large Deer,0.047325102880658436,0.30107877,0.00027733264,Deer
Large Kangaroo,0.03909465020576132,0.31093574,0.00031853977,Kangaroo
Large Giraffe,0.029835390946502057,0.30990484,0.00018087748,Giraffe
Lions,0.00102880658436214,0.26732725,0.000105425715,Lion
Large Elephant,0.03292181069958848,0.30579364,0.00023574382,Elephant
Elephant,0.029835390946502057,0.30694488,0.00020159523,Large Elephant
Elephants,0.0030864197530864196,0.30624703,1.9381443e-05,Large Elephant
Large Horse,0.030864197530864196,0.2851453,0.0001035134,Horse
Large Bird,0.011831275720164609,0.2652186,0.0002110471,Bird
Cow,0.0411522633744856,0.30089006,0.00022183657,Large Cow
Large Cow,0.013888888888888888,0.29867977,0.00021115056,Cow
Giraffes,0.00051440329218107,0.27322647,0.0,Large Kangaroo
Bird,0.06481481481481481,0.27339622,0.000121593475,Large Bird
Cows,0.00051440329218107,0.30250615,0.0,Cow
Deers,0.00102880658436214,0.28138793,0.00030101836,Deer
Giraffe,0.03806584362139918,0.31115797,8.692613e-05,Large Giraffe
Kangaroos,0.0015432098765432098,0.31627628,0.0005950232,Large Kangaroo
Cat,0.05761316872427984,0.2733057,5.2596843e-05,Large Cat
Large Cat,0.00102880658436214,0.26948506,3.7401915e-06,Cat
Large Bear,0.029320987654320986,0.2895833,0.00022809548,Bear
Bears,0.00102880658436214,0.2727711,0.00012563169,Bear
Dolphins,0.00257201646090535,0.2954156,0.0004117787,Dolphin
Large Dolphin,0.01903292181069959,0.30249116,0.00014787751,Dolphin
Dolphin,0.04526748971193416,0.30382556,0.00019600174,Large Dolphin
