category,fraction,average_dot_product,variance,second_best_category
Baked Potato,0.0149,0.3035922,0.00054114935,Medium Baked Potato
Baked Potatoes,0.07355,0.30151486,0.0006051028,Small Baked Potatoes
Crispy Chicken,0.05785,0.2886131,0.00043031896,Crispy Chickens
Large Baked Potatoes,0.00895,0.30050454,0.0004778814,Baked Potatoes
Small Crispy Chickens,0.01635,0.28805366,0.00019018074,Crispy Chickens
Taquitos,0.0201,0.2889886,0.0008774468,Small Taquitos
Small Baked Potatoes,0.0049,0.29476056,0.00049016916,Baked Potatoes
Large Taco,0.01375,0.28602666,0.00021921331,Large Tacos
Small Tacos,0.06295,0.2874585,0.00023071798,Tacos
Small Pizzas,0.00385,0.27701792,0.00017829375,Pizza
Large Baked Potato,0.00085,0.29967692,0.00032920696,Baked Potato
Hot Dog,0.00525,0.29531193,0.0002872558,Large Hot Dog
Fries,0.06555,0.29757553,0.00029748236,Fries
Sandwiches,0.0111,0.28342664,0.0004192043,Sandwich
Medium Pizza,0.00835,0.27688465,0.00012627905,Pizza
Medium Baked Potato,0.001,0.29406053,0.00055326225,Baked Potato
Large Burgers,0.011,0.28385168,0.00018362566,Burgers
Sandwich,0.0459,0.28454784,0.00024180526,Large Sandwich
Donut,0.0281,0.29361814,0.0002756017,Large Donut
Donuts,0.0446,0.29001662,0.00025180425,Donut
Large Donut,0.0145,0.30088872,0.00014179492,Donut
Large Donuts,0.0093,0.28666776,0.00020165597,Donuts
Medium Donut,0.00115,0.28811008,0.0005818191,Donut
Small Donuts,0.0009,0.27613556,0.00022629897,Donuts
Burger,0.02315,0.27893868,0.00012225981,Large Burger
Small Hot Dogs,0.0151,0.29537755,0.00027379295,Large Hot Dogs
Large Hot Dog,0.02675,0.29652897,0.0002111845,Large Hot Dogs
Large Hot Dogs,0.03765,0.29526278,0.00022015818,Hot Dogs
Small Taquito,0.0001,0.25610983,3.5867095e-05,Small Taquitos
Small Sandwiches,0.0053,0.2851214,0.00037312057,Sandwiches
Burgers,0.00425,0.26782712,0.00030602847,Small Burgers
Large Sandwich,0.0336,0.29099125,0.00021515574,Sandwich
Hot Dogs,0.00435,0.29273152,0.00062229444,Large Hot Dogs
Medium Hot Dog,0.00415,0.28934497,0.00029811513,Hot Dog
Large Sandwiches,0.0087,0.28811252,0.0003819959,Sandwiches
Small Burger,0.00945,0.28046244,0.00015690213,Burger
Large Crispy Chicken,0.01715,0.28839752,0.00025229828,Crispy Chicken
Large Tacos,0.0123,0.2791281,0.00024189988,Small Tacos
Medium Crispy Chicken,0.00605,0.29225203,0.00037748163,Crispy Chicken
Small Taquitos,0.03865,0.3000488,0.00025549094,Taquitos
Large Taquitos,0.02045,0.29761708,0.00026814803,Small Taquitos
Large Taquito,0.00325,0.29132152,0.00031841718,Medium Taquito
Large Burger,0.03215,0.28801924,0.000100000834,Burger
Pizza,0.0501,0.28311178,0.000100255726,Large Pizza
Small Hot Dog,0.00055,0.29332247,0.00012862141,Hot Dog
Small Sandwich,0.0009,0.28436267,0.00042228567,Sandwich
Small Burgers,0.0034,0.28003603,0.00017774105,Burgers
Medium Sandwich,0.0026,0.29137433,0.00031900406,Sandwich
Small Crispy Chicken,0.0057,0.27460158,0.00041085796,Crispy Chicken
Large Pizza,0.0321,0.28832603,9.0245514e-05,Pizza
Large Pizzas,0.00525,0.27953884,0.00017763773,Large Pizza
Small Pizza,0.00185,0.27863,0.00025084856,Pizza
Pizzas,0.0008,0.27058452,0.0003631264,Pizza
Crispy Chickens,0.0073,0.29494974,0.00018077354,Crispy Chicken
Medium Taco,0.0067,0.27453864,0.00028036602,Taco
Tacos,0.0042,0.27943733,0.00038518224,Small Tacos
Taco,0.00285,0.27674806,0.00067225675,Tacos
Large Crispy Chickens,0.00455,0.29465574,0.00030661677,Crispy Chicken
Medium Taquito,0.0003,0.27268875,0.00019297998,Large Taquito
Small Fries,0.00705,0.28569284,0.0005185148,Small Fries
Large Fries,0.0085,0.29405618,0.00033358406,Large Fries
Medium Fries,0.0172,0.29707402,0.00026969577,Fries
Medium Burger,0.0093,0.27531075,0.000110800545,Burger
Small Baked Potato,0.0001,0.27843457,0.00064528733,Small Baked Potatoes
Small Donut,0.0001,0.27598497,4.23193e-06,Donut
Small Taco,0.0013,0.28287342,0.00065904396,Taco
Taquito,5e-05,0.31063092,0.0,Large Taquito
